category,asin,n
rtx3080,B08HH5WF97,18
rtx3070,B08L8JNTXQ,17
rtx3060,B08W8DGK3X,15
rtx3070,B08L8KC1J7,9
rtx3070,B08L8L9TCZ,8
rtx3070,B08MT6B58K,8
rtx3060,B08WGTL4CW,7
rtx3070,B08LW46GH2,6
rtx3080,B08J6F174Z,6
rtx3060ti,B083Z7TR8Z,5
